Sales History Report Summary
item name,size,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,Sale,Pur,Adj,QoH,
99 GRAPES 50 mL,50 mL,0,0,0,0,0,0,48,0,32,33,39,10,162,0,0,-324,
99 GRAPES 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 Long Island Iced Tea 200ml,200 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 Long Island Iced Tea 375ml,375 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 LONG ISLAND ICED TEA SCHNAAPS 50ML,50ML,0,0,0,0,0,5,18,27,18,0,15,12,95,0,0,-183,
99 ORANGE SCHNAPPS 1.0L,1.0L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 ORANGES 50 mL,50 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 ORANGES SCHNAPPS 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 PARTY BOWL PARTY BOWL 50 mL,50 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 PEACH 200 mL,200 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 PEACH 375 mL,375 mL,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
99 PEACH SCHNAPPS 1.0L,1.0L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 PEACHES 200 mL,200 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
99 PEACHES 50 mL,50 mL,0,0,0,0,0,16,24,28,20,0,0,0,88,0,0,-87,
99 PEACHES 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
99 PEPPERMINT 50 ML,50 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 PINEAPPLE 50 mL,50 mL,0,0,0,0,0,12,3,24,24,24,24,12,123,0,0,-102,
99 PINEAPPLES LIQUEUR 100ML,100ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 PROOF WATERMELONS 750ml,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 ROOT BEER 50 mL,50 mL,0,0,0,0,0,12,16,1,1,4,0,18,52,0,0,65,
99 SCHNAPPS 50mL PEANUT BUTTER,50 mL,0,0,0,0,0,0,10,15,24,28,11,20,108,0,0,-64,
99 STRAWBERRIES LIQUEUR 50 ML,50 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 WATERMELON 200 ML,224,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
99 WATERMELON 375 mL,375 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,
99 WATERMELON 50 mL,50 mL,0,0,0,0,0,11,43,13,20,35,5,14,141,0,0,-174,
99 WHIPPED 50 mL,50 mL,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-15,
99 XXPRESSO COFFEE 50 ML,50 mL,0,0,0,0,0,0,6,0,12,2,6,0,26,0,0,-30,
A to Z 750mL PINOT NOIR,,0,0,0,0,0,3,0,1,0,2,1,0,7,0,0,-11,
A-MANO PINOT GRIGIO 30L,30L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
AALBORG AKVAVIT 750ml,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
ABERFELDY 750 mL 12YR SCOTCH,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1,
ABERLOUR 750 mL 12 YR HIGHLAND S M SCOTCH,750 mL,0,0,0,0,0,0,0,1,0,2,0,1,4,0,0,-7,
ABSENTE REFINED 110PF 750ml,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
ABSENTE REFINED 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
ABSOLUT 750mL WATERMELON,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
ABSOLUT 80 PROOF 1.0 L,1.0 L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,9,
ABSOLUT 80 PROOF 1.75 L,1.75 L,0,0,0,0,0,4,4,3,6,4,4,2,27,0,0,-19,
ABSOLUT 80 PROOF 200 mL,200 mL,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,-4,
ABSOLUT 80 PROOF 375 mL,375 mL,0,0,0,0,0,0,1,0,0,1,3,0,5,0,0,20,
ABSOLUT 80 PROOF 50 mL,50 mL,0,0,0,0,0,1,7,4,0,4,0,4,20,0,0,38,
ABSOLUT 80 PROOF 750 mL,750 mL,0,0,0,0,0,1,1,3,1,1,1,1,9,0,0,-3,
ABSOLUT APEACH 50 mL,50 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
ABSOLUT APEACH 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
ABSOLUT APPLE JUICE 50ML,50ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-2,
ABSOLUT BERRI ACAI 50ML,50ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
ABSOLUT BERRY ACAI 50 mL,50 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
ABSOLUT BERRY ACAI 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
ABSOLUT BOSTON VODKA 1 L,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
ABSOLUT CHERRY CRAN 50 mL,50 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
ABSOLUT CILANTRO 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,5,
ABSOLUT CITRON 1.75 L,1.75 L,0,0,0,0,0,1,6,2,4,4,5,3,25,0,0,-18,
ABSOLUT CITRON 200 mL,200 mL,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,
ABSOLUT CITRON 375 mL,375 mL,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,
ABSOLUT CITRON 50 mL,50 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,72,
ABSOLUT CITRON 750 mL,750 mL,0,0,0,0,0,0,0,4,0,1,1,0,6,0,0,-8,
ABSOLUT CITRON VODKA 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Absolut Elyx Vodka 750ml,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
ABSOLUT GRAPEFRUIT 50 mL,50 mL,0,0,0,0,0,0,0,3,0,0,12,1,16,0,0,27,
ABSOLUT GRAPEFRUIT VODKA 1.75 L,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-2,
ABSOLUT GRAPEFRUIT VODKA 750 ML,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-1,
ABSOLUT GRAPEVINE 50 ML,50 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
